a	một
consist	bao gồm
consist of	gồm có
consistent	thích hợp
consistently	nhất quán
conspiracy	âm mưu
constant	kiên trì, bền lòng
constantly	kiên định
constitute	cấu tạo
constitution	hiến pháp
constitutional	hiến pháp
constraint	hạn chế
construct	xây dựng
construction	sự xây dựng
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consultant	tư vấn
consume	tiêu dùng
consumer	người tiêu dùng
consumption	tiêu dùng
contact	sự liên lạc, sự giao thiệp, tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa, công te nơ
contemplate	thưởng ngoạn
contemporary	đương thời, đương đại
contend	đấu tranh
content	nội dung, sự hài lòng
contest	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục
continue	tiếp tục, làm tiếp
continued	tiếp tục
continuing	tiếp tục
continuous	liên tục, liên tiếp
continuously	liên tục, liên tiếp
contract	hợp đồng, sự ký hợp đồng, ký kết
contractor	nhà thầu
contrast	sự tương phản, làm tương phản, làm trái
contrasting	tương phản
contribute	đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
contributor	người đóng góp
control	điều khiển
controlled	được điều khiển, được kiểm tra
controversial	gây tranh cãi
controversy	tranh cãi
convenience	tiện
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
conversation	cuộc đàm thoại, cuộc trò chuyện
conversion	chuyển đổi
convert	đổi, biến đổi
convey	chuyên chở
convict	tù nhân
conviction	lòng tin chắc, sự kết án, phán quyết
convince	làm cho tin, thuyết phục, làm cho nhận thức thấy
convinced	thuyết phục
cook	nấu ăn, người nấu ăn
cooker	lò, bếp, nồi nấu
cookie	bánh quy
cooking	sự nấu ăn, cách nấu ăn
cool	mát mẻ, điềm tĩnh, làm mát,
cooperate	hợp tác
cooperation	hợp tác
cooperative	hợp tác xã
coordinate	danh từ  tọa độ
coordinator	điều phối viên
cop	cảnh sát
cope	đối phó, đương đầu
copy	bản sao, bản chép lại, sự sao chép, sao chép, bắt chước
cord	dây
core	nòng cốt, hạt nhân, đáy lòng
corn	ngô
corner	góc
corporate	công ty
corporation	tập đoàn
correct	đúng, chính xác, sửa, sửa chữa
correctly	đúng, chính xác
correlation	tương quan
correspondent	phóng viên
corridor	hành lang
corruption	tham nhũng
cost	giá, chi phí, trả giá, phải trả
costly	tốn kém
costume	trang phục
cottage	nhà tranh
cotton	bông, chỉ, sợi
couch	đi văng
cough	ho, sự ho, tiếng hoa
coughing	ho
could	có thể, có khả năng
could modal	có thể
council	hội đồng
counsel	lời khuyên
counseling	tư vấn
counselor	cố vấn
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
counterpart	đối tác
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
coup	cuộc đảo chính
couple	đôi, cặp, đôi vợ chồng, cặp nam nữ
courage	sự can đảm, sự dũng cảm, dũng khí
course	tiến trình, quá trình diễn tiến, sân chạy đua
court	sân, sân , tòa án, quan tòa, phiên tòa
courtroom	phòng xử án
cousin	anh em họ
cover	bao bọc, che phủ, vỏ, vỏ bọc
coverage	phủ sóng
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	cừ, xuất sắc, làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crash	vải thô, sự rơi , sự phá sản, sụp đổ, phá tan tành, phá vụn
crawl	thu thập thông tin
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creation	sự sáng tạo
creative	sáng tạo
creativity	sáng tạo
creature	sinh vật, loài vật
credibility	uy tín
credit	sự tin, lòng tin, danh tiếng, tiền gửi ngân hàng
credit card	thẻ tín dụng
crew	phi hành đoàn
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội, kẻ phạm tội, tội phạm
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criteria	tiêu chuẩn
criterion	tiêu chuẩn
critic	nhà phê bình
critical	phê bình, phê phán, khó tính
criticism	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	cây thánh giá, nỗi thống khổ, sự băng qua, băng qua, vượt qua
crowd	đám đông
crowded	đông đúc
crown	vương miện, vua, ngai vàng, đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
cruise	du lịch
crush	ép, vắt, đè nát, đè bẹp
cry	khóc, kêu la, sự khóc, tiếng khóc, sự kêu la
crystal	pha lê
cuban	cuba
cue	gợi ý
cultural	văn hóa
culture	văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
cure	chữa trị, điều trị, cách chữa bệnh, cách điều trị, thuốc
curiosity	sự tò mò
curious	ham muốn, tò mò, lạ lùng
curiously	tò mò, hiếu kỳ, lạ kỳ
curl	quăn, xoắn, uốn quăn, làm xoắn, sự uốn quăn
curly	quăn, xoắn
currency	tiền tệ
current	hiện hành, phổ biến, hiện nay, dòng
currently	hiện thời, hiện nay
curriculum	chương trình giáo dục
curtain	màn
curve	đường cong, đường vòng, cong, uốn cong, bẻ cong
curved	cong
custody	quyền nuôi con
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
cut	cắt, chặt, sự cắt
cute	dễ thương
cycle	chu kỳ, chu trình, vòng, quay vòng theo chu kỳ, đi xe đạp
cycling	sự đi xe đạp
dad	bố, cha
daily	hàng ngày
dam	con đập
damage	mối hạn, điều hại, sự thiệt hại, làm hư hại, làm hỏng, gây thiệt hại
damn	chỉ trích
damp	ẩm, ẩm ướt, ẩm thấp
dance	sự nhảy múa, sự khiêu vũ, nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
dancing	sự nhảy múa, sự khiêu vũ
danger	sự nguy hiểm, mối hiểm nghèo, nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với, thách
dark	tối, tối tăm, bóng tối, ám muội
darkness	bóng tối
data	số liệu, dữ liệu
database	cơ sở dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ, thời đại, đề ngày tháng, ghi niên hiệu
daughter	con gái
dawn	bình minh
day	ngày, ban ngày
dead	chết, tắt
deadline	hạn chót
deadly	chết người
deaf	điếc, làm thinh, làm ngơ
deal	phân phát, phân phối, sự giao dịch, thỏa thuận mua bán
deal with	giải quyết
dealer	người buôn bán
dear	thân, thân yêu, thân mến, kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi, tranh luận, bàn cãi
debris	mảnh vụn
debt	nợ
debut	ra mắt
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
december	tháng mười hai, tháng chạp
decent	phong nha
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
deck	boong
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp, suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
dedicate	dâng hiến
deem	thấy
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
deer	con nai
defeat	đánh thắng, đánh bại, sự thất bại
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
defendant	bị cáo
defender	hậu vệ
defense	phòng thủ
defensive	phòng ngự
deficit	thâm hụt
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ, bằng cấp, độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở, làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng, điều thích thú, làm vui thích, làm say
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng, sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu, đòi hỏi, yêu cầu
democracy	dân chủ
democrat	dân chủ
democratic	dân chủ
demographic	nhân khẩu học
demonstrate	chứng minh, giải thích, bày tỏ, biểu lộ
demonstration	trình diễn
denial	từ chối
dense	dày đặc
density	tỉ trọng
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
depart	khởi hành
department	cục, sở, ty, ban, khoa, gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc, dựa vào, ỷ vào, trông mong vào
dependent	phụ thuộc
depending	tùy
depict	miêu tả
deploy	triển khai
deposit	vật gửi, tiền gửi, tiền đặt cọc, gửi, đặt cọc
depress	làm chán nản, làm phiền muộn, làm suy giảm
depressed	chán nản, thất vọng, phiền muộn, suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depression	phiền muộn
depth	chiều sâu, độ dày
deputy	phó
derive	nhận được từ, lấy được từ, xuất phát từ, bắt nguồn, chuyển hóa từ
descend	hạ xuống
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc, công lao, giá trị, rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo, phác họa, thiết kế
designer	nhà thiết kế
desire	ước muốn, thèm muốn, ao ước
desk	bàn
desperate	liều mạng, liều lĩnh, tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
dessert	món tráng miệng
destination	nơi đến
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
detect	phát hiện
detective	thám tử
determination	sự xác định, sự định rõ, sự quyết định
determine	xác định, định rõ, quyết định
determined	đã được xác định, đã được xác định rõ
devastating	tàn phá
develop	phát triển, mở rộng, trình bày, bày tỏ
developer	nhà phát triển
developing	phát triển
development	sự phát triển, sự trình bày, sự bày tỏ
developmental	phát triển
device	kế sách, thiết bị, dụng cụ, máy móc
devil	ác quỷ
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho, hết lòng, nhiệt tình
diabetes	bệnh tiểu đường
diagnose	chẩn đoán
diagnosis	chẩn đoán
diagram	biểu đồ
dialogue	đối thoại
diamond	kim cương
diary	sổ nhật ký, lịch ghi nhớ
dictate	điều khiển
dictionary	từ điển
die	chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
differ	khác nhau
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
digital	kỹ thuật số
dignity	phẩm giá
dilemma	tình trạng khó xử
dimension	kích thước
diminish	suy giảm
dining	ăn uống
dinner	bữa trưa, chiều
dip	nhúng
diplomat	nhà ngoại giao
diplomatic	ngoại giao
direct	trực tiếp, thẳng, thẳng thắn, gửi, viết cho ai, điều khiển
direction	sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disability	khuyết tật
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống, không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi, thất ước, làm thất
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
disclose	tiết lộ
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discourage	gây chán nản cho
discourse	đàm luận
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discrimination	kỳ thị
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét, phẫn nộ
disgusting	làm ghê tởm, kinh tởm
dish	đĩa
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán
disorder	rối loạn
display	bày tỏ, phô trương, trưng bày, sự bày ra, phô bày, trưng bày
dispute	tranh chấp
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distant	xa xôi
distinct	khác biệt
distinction	phân biệt
distinctive	đặc biệt
distinguish	phân biệt, nhận ra, nghe ra
distract	làm mất tập trung
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
diverse	phong phú
diversity	sự đa dạng
divide	chia, chia ra, phân ra
divine	thần thánh
division	sự chia, sự phân chia, sự phân loại
divorce	đã ly dị
dna	dna
do	làm
dock	bến tàu
doctor	bác sĩ y khoa, tiến sĩ
doctrine	học thuyết
document	văn kiện, tài liệu, tư liệu
documentary	phim tài liệu
dog	chó
doll	búp bê
dollar	đô la mỹ
domain	miền
domestic	vật nuôi trong nhà,  nội trợ, quốc nội
dominant	có ưu thế
dominate	chiếm ưu thế, có ảnh hưởng, chi phối, kiềm chế
donate	hiến tặng
donation	quyên góp
donor	nhà tài trợ
door	cửa, cửa ra vào
doorway	lối vào
dose	liều
dot	chấm nhỏ, điểm, của hồi môn
double	đôi, hai, kép, cái gấp đôi, lượng gấp đôi, làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực, nghi ngờ, ngờ vực
dough	bột
down	xuống
downstairs	ở dưới nhà, ở tầng dưới, xống gác, tầng dưới
downtown	trung tâm thành phố
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	tá
draft	bản phác thảo, sơ đồ thiết kế, phác thảo, thiết kế
drag	lôi kéo, kéo lê
drain	ráo nước
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawer	người vẽ, người kéo
drawing	bản vẽ, bức vẽ, sự kéo
dream	giấc mơ, mơ
dress	quần áo, mặc , ăn mặc
dried	khô
drift	trôi dạt
drill	máy khoan
drink	đồ uống, uống
drinking	uống
drive	lái , đua xe, cuộc đua xe
driver	người lái xe
driveway	đường lái xe
driving	sự lái xe, cuộc đua xe
drop	chảy nhỏ giọt, rơi, rớt, giọt
drown	chết chìm
drug	thuốc, dược phẩm, ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn, làm khô, sấy khô
duck	con vịt
due	đến kỳ hạn , xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
dull	chậm hiểu, ngu đần
dumb	ngớ ngẩn
dump	đổ rác, đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác, rắc , quét bụi, phủi bụi
dutch	người hà lan
duty	sự tôn kính, kính trọng, bồn phận, trách nhiệm
dying	sự chết
dynamic	năng động
dynamics	động lực học
e-mail	e-mail
each	mỗi
each other	nhau, lẫn nhau
eager	hăng hái
ear	tai
early	sớm
earn	kiếm
earnings	thu nhập
earth	đất, trái đất
earthquake	động đất
ease	sự thanh thản, sự thoải mái, làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướng đông, phía đông,  đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
eating	Ăn
echo	echo
ecological	sinh thái
economic	kinh tế
economically	kinh tế
economics	kinh tế học
economist	nhà kinh tế học
economy	sự tiết kiệm, sự quản lý kinh tế
ecosystem	hệ sinh thái
edge	lưỡi, cạnh sắc
edit	chỉnh sửa
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học, rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện
educational	giáo dục
educator	nhà giáo dục
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
effectiveness	hiệu quả
efficiency	hiệu quả
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
egg	trứng
ego	tự ngã
eight	tám
eighth	thứ tám
either	mỗi, một, cũng phải thế
elaborate	kỹ lưỡng
elbow	khuỷu tay
elder	đàn anh
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	điện, có điện, phát điện
electrical	điện
electricity	điện, điện lực, điện lực học
electronic	điện tử
electronics	thiết bị điện tử
elegant	thanh lịch, tao nhã
element	yếu tôd, nguyên tố
elementary	tiểu học
elephant	con voi
elevator	thang máy
eleven	mười một
eligible	hội đủ điều kiện
eliminate	loại bỏ
elite	ưu tú
else	khác, nữa, nếu không
elsewhere	ở một nơi nào khác
email	thư điện tử, gửi thư điện tử
embarrass	lúng túng, làm ngượng nghịu, làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng, mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
embrace	ôm hôn
emerge	nổi lên, hiện ra, nổi bật lên
emergency	tình trạng khẩn cấp
emerging	mới nổi
emission	khí thải
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm, dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
empty	trống, rỗng, đổ, dốc, uống, làm cạn
enable	làm cho có thể, có khả năng, cho phép ai làm gì
enact	ban hành
encounter	chạm chán, bắt gặp, sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
encouraging	khuyến khích
end	giới hạn, sự kết thúc, kết thúc, chấm dứt
ending	sự kết thúc, sự chấm dứt, phần cuối, kết cục
endless	bất tận
endorse	chứng thực
endure	chịu đựng
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
enforce	thi hành
enforcement	thực thi
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn, đã có người
engagement	hôn ước
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
english	anh
enhance	nâng cao
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
enroll	ghi danh
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
enterprise	doanh nghiệp
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên , cho quyền làm gì
entity	thực thể
entrance	sự đi vào, sự nhậm chức
entrepreneur	doanh nhân
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
envision	hình dung
epidemic	bệnh dịch
episode	tập phim
equal	ngang, bằng, người ngang hàng, ngang tài, sức, bằng, ngang
equality	bình đẳng
equally	bằng nhau, ngang bằng
equation	phương trình
equip	trang bị
equipment	trang, thiết bị
equity	công bằng
equivalent	tương đương, từ, vật tương đương
era	kỷ nguyên
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi, sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essence	bản chất
essential	bản chất, thực chất, cốt yếu, yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
establishment	thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá, ước lượng, đánh giá
estimated	ước tính
etc	vân vân
ethical	đạo đức
ethics	đạo đức
ethnic	dân tộc
euro	đơn vị tiền tệ của liên minh châu âu
european	châu Âu
evaluate	đánh giá
evaluation	đánh giá
even	ngay cả, ngay, lại còn, bằng phẳng, điềm đạm, ngang bằng
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
everybody	mọi người
everyday	mỗi ngày
everyone	mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evident	hiển nhiên
evil	xấu, ác, điều xấu, điều ác, điều tai hại
evolution	sự phát triển
evolve	phát triển
ex- prefix	tiền tố chỉ bên ngoài
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của examination
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han
example	thí dụ, ví dụ
exceed	quá
excellent	xuất sắc, xuất chúng
except	trừ ra, không kể, trừ phi
exception	sự trừ ra, sự loại ra
excessive	quá đáng
exchange	trao đổi, sự trao đổi
excite	kích thích, kích động
excited	bị kích thích, bị kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
exclusive	độc quyền
exclusively	duy nhất
excuse	lời xin lỗi, bào chữa, xin lỗi, tha thứ, tha lỗi
execute	thi hành
execution	chấp hành
executive	sự thi hành, chấp hành,  sự thi hành, chấp hành
exempli gratia	trứng
exercise	bài tập, sự thi hành, sự thực hiện, làm, thi hành, thực hiện
exhaust	thoát ra
exhibit	trưng bày, triển lãm, vật trưng bày, vật triển lãm
exhibition	cuộc triển lãm, trưng bày
exist	tồn tại, sống
existence	sự tồn tại, sự sống
existing	hiện tại
exit	lỗi ra, sự đi ra, thoát ra
exotic	kỳ lạ
expand	mở rộng, phát triển, nở, giãn ra
expansion	sự bành trướng
expect	chờ đợi, mong ngóng, liệu trước
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expedition	thám hiểm
expense	chi phí
expensive	đắt
experience	kinh nghiệm, trải qua, nếm mùi
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment	cuộc thí nghiệm, thí nghiệm
experimental	thử nghiệm
expert	chuyên gia, chuyên môn, thành thạo
expertise	chuyên môn
explain	giải nghĩa, giải thích
explanation	sự giải nghĩa, giải thích
explicit	rõ ràng
explo	de  nổ tung
explode	đập tan , làm nổ, nổ
exploit	khai thác
exploration	thăm dò
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu, hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
exposure	phơi bày
express	diễn tả, biểu lộ, bày tỏ, nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra , dành cho, gửi lời
extended	mở rộng
extension	sự giơ, duỗi, sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
external	bên ngoài
extra	thêm, phụ, ngoại, thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	vô cùng, khắc nghiệt, quá khích, cực đoan, sự quá khích
extremely	vô cùng, cực độ
eye	mắt
eyebrow	lông mày
fabric	vải
face	mặt, thể diện, đương đầu, đối phó, đối mặt
facilitate	tạo điều kiện
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
faculty	giảng viên
fade	phai màu
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng, thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy, niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	rơi, ngã, sự rơi, ngã
fall asleep	ngủ thiếp đi
fall over	ngã lộn nhào, bị đổ
false	sai, nhầm, giả dối
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thộc
family	gia đình, thuộc gia đình
famous	người hâm mộ
fan	quạt
fancy	tưởng tượng, cho, nghĩ rằng, tưởng tượng
fantastic	tuyệt diệu
fantasy	tưởng tượng
far	xa
fare	giá vé
farm	trang trại
farmer	nông dân, người chủ trại
farming	công việc trồng trọt, đồng áng
fascinating	hấp dẫn
fashion	mốt, thời trang
fashionable	đúng mốt, hợp thời trang
fast	nhanh
fasten	buộc, trói
faster	nhanh hơn
fat	béo, béo bở, mỡ, chất béo
fatal	gây tử vong
fate	số phận
father	cha
fatigue	mệt mỏi
faucet	vòi
fault	sự thiết sót, sai sót
favor	ủng hộ
favorable	thuận lợi
favorite	yêu thích
favour	thiện ý, sự quý mến, sự đồng ý, sự chiếu cố
fear	sự sợ hãi, e sợ, sợ, lo ngại
feather	lông chim
feature	nét đặt biệt, điểm đặc trưng, mô tả nét đặc biệt, đặc trưng của...
february	tháng 2
federal	liên bang
fee	tiền thù lao, học phí
feed	cho ăn, nuôi
feedback	phản hồi
feel	cảm thấy
feel sick	buồn nôn
feeling	sự cảm thấy, cảm giác
fellow	anh chàng , đồng chí
female	thuộc giống cái, giống cái
feminist	nữ quyền sĩ
fence	hàng rào
festival	lễ hội, đại hội liên hoan
fetch	tìm về, đem về, làm bực mình, làm say mê, quyến rũ
fever	cơn sốt, bệnh sốt
few	ít,vài, một ít, một vài
fewer	ít hơn
fiber	chất xơ
fiction	viễn tưởng
field	cánh đồng, bãi chiến trường
fierce	khốc liệt
fifteen	mười lăm
fifth	thứ năm
fifty	năm mươi
fight	đấu tranh, chiến đấu, sự đấu tranh, cuộc chiến đấu
fighter	đấu sĩ
fighting	sự chiến đấu, sự đấu tranh
figure	hình dáng, nhân vật, hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	phim, được dựng thành phim
filter	lọc
final	cuối cùng, cuộc đấu chung kết
finally	cuối cùng, sau cùng
finance	tài chính, tài trợ, cấp vốn
financial	thuộc
find	tìm, tìm thấy
find out sth	khám phá, tìm ra
finding	phát hiện
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành, sự kết thúc, phần cuối
finished	hoàn tất, hoàn thành
fire	lửa, đốt cháy
